Lunedì,Martedì,Mercoledì,Giovedì,Venerdì,
9:00-10:00,,Storia dell'architettura 2  - H3,Storia dell'architettura 2  - H3,Fisica generale  - aulaF-Campus Aquae,
10:00-11:00,,Storia dell'architettura 2  - H3,Storia dell'architettura 2  - H3,Fisica generale  - aulaF-Campus Aquae,
11:00-12:00,Tutorato Fisica generale  - C6,Storia dell'architettura 2  - H3,Storia dell'architettura 2  - H3,,
12:00-13:00,Tutorato Fisica generale  - C6,Storia dell'architettura 2  - H3,Storia dell'architettura 2  - H3,,
13:00-14:00,,,,,
14:00-15:00,Architettura tecnica 1  - H3,,Storia dell'architettura 2  - H3,Architettura tecnica 1  - H3,Architettura tecnica 1  - H2
15:00-16:00,Architettura tecnica 1  - H3,,Storia dell'architettura 2  - H3,Architettura tecnica 1  - H3,Architettura tecnica 1  - H2
16:00-17:00,Architettura tecnica 1  - H3,,Fisica generale  - EF1,Architettura tecnica 1  - H3,Fisica generale  - EF1
17:00-18:00,Architettura tecnica 1  - H3,,Fisica generale  - EF1,Architettura tecnica 1  - H3,Fisica generale  - EF1
