,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì
9:00-10:00,,Gusci e serbatoi  - aula5,Progettazione degli impianti di depurazione e potabilizzazione  - F2,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,
10:00-11:00,,Gusci e serbatoi  - aula5,Progettazione degli impianti di depurazione e potabilizzazione  - F2,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,
11:00-12:00,,Fondazioni ed opere di sostegno  - E7,Progettazione degli impianti di depurazione e potabilizzazione  - F2,,
12:00-13:00,,Fondazioni ed opere di sostegno  - E7,Progettazione degli impianti di depurazione e potabilizzazione  - F2,,
13:00-14:00,,,,,
14:00-15:00,,Impianti idroelettrici  - aula5,Contamination and remediation technologies for soils and groundwater  - E6,Complementi di scienza delle costruzioni  - G2,,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,Fondazioni ed opere di sostegno  - E7,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,
15:00-16:00,,Impianti idroelettrici  - aula5,Contamination and remediation technologies for soils and groundwater  - E6,Complementi di scienza delle costruzioni  - G2,,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,Fondazioni ed opere di sostegno  - E7,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,
16:00-17:00,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,Contamination and remediation technologies for soils and groundwater  - E6,Complementi di scienza delle costruzioni  - G2,Gusci e serbatoi  - aula5,,,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,
17:00-18:00,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,Contamination and remediation technologies for soils and groundwater  - E6,Complementi di scienza delle costruzioni  - G2,Gusci e serbatoi  - aula5,,,,Reliable design and management of urban hydraulic infrastructures  - aulaRicciardi,
